ID,YEAR,Volume,Lote,Operacion,Unidad,EL.,Investigator,Fecha,Class,Category,Genus,Species,Name,CF,R_El,R_info,Side,"Completeness (0=frag, 1=complete)",R_Portion,Fragmentation,NISP,MNE,Estimate AGE,Fusion/wear,Proximal,Shaft,Distal,Taphonomy,Photographed,Bird to confirm ID,Additional analysis,Quality of heat/fire exposure,# Charred,# Heat exposed,Carnivore,Rodent,Worked,Butchery,Weathering,Other,Calcined,Measurements,Location of measurement,Portion,Element info,Comments,R_El/Portion/Element info/Comments
869,2017,,678,18,I23,36,DHS,9_VII_14,Mammal,Human,,,Human,#N/A,shaft,Frags,,0,sliver,2-Ancient/modern,1,,0- not determinable,,,,,Spatula,Phone 28_VIII_17,,,,0,,0,0,2,0,0,0,0,68.0x23.8,LxW,sliver,"fragment ground to rounded ""spatula""","approx. 1/2 circumference, grounded and bevel from both sides, polished and used with longitudianal striations and heavy parallel and diagonal striations on top of this on outer portion of bone, also a few on inner portion. The inner surface of the bone is partially white, not sure what it is. Proximal end broken in step-wise fracture, looks more recent though.  ","shaft/sliver/fragment ground to rounded ""spatula""/approx. 1/2 circumference, grounded and bevel from both sides, polished and used with longitudianal striations and heavy parallel and diagonal striations on top of this on outer portion of bone, also a few on inner portion. The inner surface of the bone is partially white, not sure what it is. Proximal end broken in step-wise fracture, looks more recent though.  "
870,2017,,660,18,I22,,DMC,7_VII_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Mt,II,L,1,7- whole and unbroken,,1,,?adult,,FU- Fused,Pr - present,FU- Fused,,NEED,,,,0,,0,0,0,0,0,0,0,50.9,L,7- whole and unbroken,II,,Mt/7- whole and unbroken/II/
871,2017,,660,18,I22,,DMC,7_VII_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Mt,III,L,1,7- whole and unbroken,,1,,?adult,,FU- Fused,Pr - present,FU- Fused,,NEED,,,,0,,0,0,0,0,0,0,0,52.6,L,7- whole and unbroken,III,,Mt/7- whole and unbroken/III/
872,2017,,660,18,I22,,DMC,7_VII_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Mt,IV,L,1,7- whole and unbroken,,1,,?adult,,FU- Fused,Pr - present,FU- Fused,,NEED,,,,0,,0,0,0,0,0,0,0,49.8,L,7- whole and unbroken,IV,,Mt/7- whole and unbroken/IV/
873,2017,,660,18,I22,,DMC,7_VII_14,Mammal,Leporidae,Lepus,sp.,Hare,#N/A,Mt,V,L,1,7- whole and unbroken,,1,,?adult,,FU- Fused,Pr - present,FU- Fused,,NEED,,,,0,,0,0,0,0,0,0,0,44.4,L,7- whole and unbroken,V,,Mt/7- whole and unbroken/V/
874,2017,,660,18,I22,,DMC,7_VII_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Tth up,I3,L,1,7- whole and unbroken,,1,,4- infantile or juvenile,lt wear,,,,,,,,,0,,0,0,0,0,0,0,0,9.1x5.5x6.8,Altura x ancho x longitude anteroposterior (pg 96),7- whole and unbroken,I3,,Tth up/7- whole and unbroken/I3/
875,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,large,,large mammal,#N/A,Rib,Frags,,0,5-Shaft only,2-Ancient/modern,1,,,,,,,,,,,,0,,,,,,2,,,,,5-Shaft only,frag,,Rib/5-Shaft only/frag/
876,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,large,,large mammal,#N/A,shaft,Frags,,0,sliver,2-Ancient/modern,1,,,,,,,,,,,,0,,,,,,1,,,,,sliver,frag,,shaft/sliver/frag/
877,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,Tool,Needle,,0.5,4-Distal and shaft,,1,,,,,,,Needle,,,,,0,,,,2,,,,,29.6,,4-Distal and shaft,needle,"needle point, broken, I estimate about half is missing","Tool/4-Distal and shaft/needle/needle point, broken, I estimate about half is missing"
878,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,shaft,Frags,,0,sliver,1-Ancient,1,,,,,,,,,,,,0,,,,,,3,,,,,sliver,frag,,shaft/sliver/frag/
879,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,shaft,Frags,,0,sliver,5-Mixed,2,,,,,,,,,,,,0,,,,,,,,,,,sliver,frag,,shaft/sliver/frag/
880,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,medium,,medium mammal,#N/A,cranium,Frags,,0,,1,1,,,,,,,,,,,,0,,,,,,,,,,,,Frags,,cranium//Frags/
881,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,small,,small mammal,#N/A,shaft,Frags,,0,sliver,5,4,,,,,,,,,,,,0,,,,,,,,,,,sliver,frag,,shaft/sliver/frag/
882,2017,,660,18,I22,,DMC,7_VII_14,Mammal,General,,,mammal,#N/A,unknown,Frags,,0,,2,1,,,,,,,,,,,,0,,,,,,2,,,,,,frag,,unknown//frag/
883,2017,,660,18,I22,,DMC,7_VII_14,Mammal,Human,,,Human,#N/A,,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,///
884,2017,,660,18,I22,,DMC,7_VII_14,Shell,Shell,Bivalve,,Bivalve,#N/A,shell,,,0,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,oyster/barnicle like shell fragment,fragment///oyster/barnicle like shell fragment
885,2017,,663,18,I22,,GMB,8_VII_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Femur,,L,0,sliver,2,1,,9- adult,,,,,,,,,8- partly burnt,1,,0,0,0,0,0,0,0,,,sliver,shaft frag and lesser trochanter ,,Femur/sliver/shaft frag and lesser trochanter /
886,2017,,663,18,I22,,GMB,8_VII_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Tth up,P2 or dp2,L,1,7- whole and unbroken,,1,,,wear g (med),,,,,Phone 28_VIII_17,Y,,,0,,,,,,,,,7.5x8.8x12.3,Altura x ancho x longitude anteroposterior (pg 96),7- whole and unbroken,p2 o dp2,,Tth up/7- whole and unbroken/p2 o dp2/
887,2017,,663,18,I22,,GMB,8_VII_14,Mammal,Leporidae,Sylvilagus,floridanus,Eastern cottontail,#N/A,Pelvis Acetabulum,II,R,0.8,,2,1,,,,FU- Fused,Pr - present,FU- Fused,,,,,7- burnt,1,,0,0,0,0,0,0,0,,,,"Il, ish",,"Pelvis Acetabulum//Il, ish/"
888,2017,,663,18,I22,,GMB,8_VII_14,Bird,Galliformes,Colinus,virginianus,Northern bobwhite,#N/A,Femur,,L,0.9,6- whole lenght/size but still broken,,1,,9- adult,,,,,,,,,,0,,0,0,0,0,0,0,0,38.8x7.2,LxW (prox),6- whole lenght/size but still broken,,,Femur/6- whole lenght/size but still broken//
889,2017,,663,18,I22,,GMB,8_VII_14,Mammal,General,large,,large mammal,#N/A,Cranium,Frags,,0,,2,1,,,,,,,,,,,,0,,,,,,,,,,,,Frags,v flat and ripple on one side not quite like normal brain case pattern,Cranium//Frags/v flat and ripple on one side not quite like normal brain case pattern
890,2017,,663,18,I22,,GMB,8_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,shaft,Frags,,0,sliver,1,1,,,,,,,"possibly broken awl, chewed, parallel striations may be cut or carnivore, some polish towards one pointed end",,,,,0,,1,,1,,,,,,,sliver,frag,possibly used to be a tool,shaft/sliver/frag/possibly used to be a tool
891,2017,,663,18,I22,,GMB,8_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,shaft,Frags,,0,sliver,1,1,,,,,,,,,,,7- burnt,1,,,,,,,,,,,sliver,frag,,shaft/sliver/frag/
892,2017,,663,18,I22,,GMB,8_VII_14,Mammal,General,medium,,medium mammal,#N/A,rib,,L,0.1,3-Proximal and shaft,3-Modern/Ancient,1,,,,,,,,,,,9- slightly burnt,1,,,,,,,,,,,3-Proximal and shaft,head,,rib/3-Proximal and shaft/head/
893,2017,,663,18,I22,,GMB,8_VII_14,Mammal,General,medium,,medium mammal,#N/A,shaft,Frags,,0,sliver,2,1,,,,,,,,,,,,0,,,,,,,,,,,sliver,frag,,shaft/sliver/frag/
894,2017,,663,18,I22,,GMB,8_VII_14,Bird,General,,,Bird,#N/A,unknown,Frags,,0,,2,1,,,,,,,,,, ,,0,,,,,,,,,,,,frag,probably sternum frag,unknown//frag/probably sternum frag
895,2017,,667,18,N11,,GMB,9_VII_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,humerus,,R,0.1,5-Shaft only,1,1,,,,,,,,,,,,0,,,,,,,,,,,5-Shaft only,shaft frag and nutrient foramina,distal shaft fragment including nutrient foramen,humerus/5-Shaft only/shaft frag and nutrient foramina/distal shaft fragment including nutrient foramen
896,2017,,667,18,N11,,GMB,9_VII_14,Mammal,Rodentia,Ictidomys,mexicanus,Mexican ground squirrel,#N/A,Mand/Tth,,R,0.9,6- whole lenght/size but still broken,4-Modern,1,,1- young(not grown up at all),P4 lt,,,,,NEED,,,,0,,,,,,,,,L (condyle-incisor alveolus),,6- whole lenght/size but still broken,,"Incisor and P4, crop pest","Mand/Tth/6- whole lenght/size but still broken//Incisor and P4, crop pest"
897,2017,,667,18,N11,,GMB,9_VII_14,Mammal,Rodentia,Sciuridae,cf. Ictidomys mexicanus,cf. Mexican ground squirrel,cf. Mexican ground squirrel,Pelvis Acetabulum,II,L,0.1,,4-Modern,1,,,ND,,,,,,,,,0,,,,,,,,,29.9,,,Il and rectus grube tubercle,small fragment fo illium including portion of illium and tubercle where rectus grube is in other animals,Pelvis Acetabulum//Il and rectus grube tubercle/small fragment fo illium including portion of illium and tubercle where rectus grube is in other animals
898,2017,,667,18,N11,,GMB,9_VII_14,Mammal,General,large,,large mammal,#N/A,rib,Frags,,0.1,5-Shaft only,5-Mixed,2,,,,,,,,,,,,0,,,,,,,,,,,5-Shaft only,frag,,rib/5-Shaft only/frag/
899,2017,,667,18,N11,,GMB,9_VII_14,Mammal,General,large,,large mammal,#N/A,shaft,Frags,,0,sliver,2,1,,,,,,,,,,,,0,,,,1,,,,,,,sliver,frag,"fragment of worked bone, ground/polish along long-edge","shaft/sliver/frag/fragment of worked bone, ground/polish along long-edge"
900,2017,,667,18,N11,,GMB,9_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,unknown,Frags,,0,,1,1,,,,,,,,,,,"3- partly calcined, partly carbonized",1,,,,,,,,,,,,frag,"likely shaft or mandible, heavily burnt/calcined with concretions obsuring inside","unknown//frag/likely shaft or mandible, heavily burnt/calcined with concretions obsuring inside"
901,2017,,667,18,N11,,GMB,9_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,unknown,Frags,,0,,1,1,,0- not determinable,,,,,,,,,,0,,,,,,,,,,,,frag,possible part of mandible,unknown//frag/possible part of mandible
902,2017,,667,18,N11,,GMB,9_VII_14,Bird,General,medium-large,,medium-large bird,#N/A,shaft,Frags,,0.1,sliver,2,2,2,,,,,,,,,,,0,,,,,,,,,,,sliver,frag,"maybe tarsometatarus, two distinct fragments","shaft/sliver/frag/maybe tarsometatarus, two distinct fragments"
903,2017,,667,18,N11,,GMB,9_VII_14,Mammal,Human,,,Human,#N/A,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,,,,///
904,2017,,644,18,I22,,DHS,8_VII_14,Mammal,General,large,,large mammal,#N/A,shaft,Frags,,0,sliver,1,1,,,,,,,cut and ground,,,,,0,,1,,1,,,,,,,sliver,frag,likely deer,shaft/sliver/frag/likely deer
905,2017,,644,18,I22,,DHS,8_VII_14,Bird,General,medium-large,,medium-large bird,#N/A,shaft,Frags,,0.1,sliver,1,1,,,,,,,,,,,,0,,,,,,,,,,,sliver,frag,,shaft/sliver/frag/
906,2017,,644,18,I22,,DHS,8_VII_14,Mammal,General,medium,,medium mammal,#N/A,rib,Frags,,0.2,5-Shaft only,4-Modern,1,,,,,,,,,,,7- burnt,1,,,,,,,,,,,5-Shaft only,frag,,rib/5-Shaft only/frag/
907,2017,,664,18,I22,,DHS,8_VII_14,Mammal,Human,,,Human,#N/A,chisel,Chisel,,1,,1,1,,,,,,,"chisel, bifacial bevel, made out of a human long bone shaft, nutrient foramen present, ground on sides, diagonal scrapes on surface and along one border a number of small cuts/scratches that looks like  rodent gnawing",Phone 28_VIII_17,,,,0,,,1,2,,,,,53.1x14.9x8.2,LxWxD,,Chisel,"chisel, bifacial bevel, made out of a human long bone shaft, nutrient foramen present, ground on sides, diagonal scrapes on surface and along one border a number of small cuts/scratches that looks like  rodent gnawing","chisel//Chisel/chisel, bifacial bevel, made out of a human long bone shaft, nutrient foramen present, ground on sides, diagonal scrapes on surface and along one border a number of small cuts/scratches that looks like  rodent gnawing"
908,2017,,665,18,I23,,DHS,8_VII_14,Mammal,General,large,,large mammal,#N/A,needle,Needle,,0.4,4-Distal and shaft,1,1,,,,,,,,,,,,0,,,,, ,,,,,,4-Distal and shaft,Needle,"needle point, v sharp","needle/4-Distal and shaft/Needle/needle point, v sharp"
909,2017,,670,18,I23,,DHS,8_VII_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Mt,Frags,,0.1,3-Proximal and shaft,2,1,,9- adult,,FU- Fused,,,,,,,,0,,,,,,,,,,,3-Proximal and shaft,frag of medial condyle and shaft,"frag of medial condyle and shaft, some extra bone growth","Mt/3-Proximal and shaft/frag of medial condyle and shaft/frag of medial condyle and shaft, some extra bone growth"
910,2017,,670,18,I23,,DHS,8_VII_14,Bird,Bird of prey,cf. Buteo sp. ,,cf. Hawk,cf. Buteo sp. ,Cranium,Nasal,L,0,,2,1,,,,,,,,,,,,0,,,,,,,,,,,,Nasal,,Cranium//Nasal/
911,2017,,670,18,I23,,DHS,8_VII_14,Mammal,General,medium-large,,medium-large mammal,#N/A,unknown,Frags,,0,,2,1,,,,,,,,,,,"3- partly calcined, partly carbonized",1,,,,,,,,,,,,frag,could be frag of mandible,unknown//frag/could be frag of mandible
912,2017,,670,18,I23,,DHS,8_VII_14,Bird,General,small-med,,small-med bird,#N/A,shaft,Frags,,0,sliver,1,1,,,,,,,,,,,7- burnt,1, ,,,,,,,,,,sliver,frag,,shaft/sliver/frag/
913,2017,,584,18,J22,,DMC,25_VI_14,Mammal,Rodentia,Cratogeomys,fumosus thylorhinus,Smokey pocket gopher,#N/A,Skeleton,,,,,4-Modern,26,26,9- adult, ,FU- Fused,,FU- Fused,Instrusive,No,,,,0,,,,,,,,,,,,near complete,"Two mandibles and cranium, dentition intact, L scapular head/neck portion only), innominate fused to caudal verts, 2 femur, 2 tibia, R ulna, R radius, 2 calcaneus, 2 phalange3, 11 vertebra","Skeleton//near complete/Two mandibles and cranium, dentition intact, L scapular head/neck portion only), innominate fused to caudal verts, 2 femur, 2 tibia, R ulna, R radius, 2 calcaneus, 2 phalange3, 11 vertebra"
914,2017,,584,18,J22,,DMC,25_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Cranium,Parietal,,0,,1,1,,1- young(not grown up at all),UF- Unfused,,,,,,,,,0,,,,,,,,,,,,Parietal,"fragment of parietal, unfused, about 20% of partietal intact along caudal border","Cranium//Parietal/fragment of parietal, unfused, about 20% of partietal intact along caudal border"
915,2017,,584,18,J22,,DMC,25_VI_14,Mammal,General,medium-large,,medium-large mammal,#N/A,unknown,Frags,,0,,1,1,,,,,,,,,,,,0,,,,,,,,,,,,frag,could be frag of mandible,unknown//frag/could be frag of mandible
916,2017,,584,18,J22,,DMC,25_VI_14,Mammal,General,medium,,medium mammal,#N/A,Vert ND,,,0,,,1,,1- young(not grown up at all),,,,,,,,,,0,,,,,,,,,,,,epiphysis,"complete caudal epiphysis of a vert, likely cervical, matched dog exactly","Vert ND//epiphysis/complete caudal epiphysis of a vert, likely cervical, matched dog exactly"
917,2017,,589,18,M26,,AH,27_VI_14,Mammal,Artiodactyla,Mazama,sp.,Brocket deer,#N/A,Humerus,,R,0.4,4-Distal and shaft,2,1,,,,,Pr - present,EL- Epihyseal line,,Phone 28_VIII_17,Y,,,0,,,,,,,,,32.4x28.5x22.0x28.8,greatest width x depth (medial) x depth (lateral) x max condyle width,4-Distal and shaft,,"Spiral fracture,  smaller that other identified deer, likely mazama, check IDs against measurements later, also much less thick in cortical  than lote 123 humerus of a similar size","Humerus/4-Distal and shaft//Spiral fracture,  smaller that other identified deer, likely mazama, check IDs against measurements later, also much less thick in cortical  than lote 123 humerus of a similar size"
918,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Calcaneus,,L,1,,,1,,,,,,,,,,,,0,,,,,,2,,,33.6x12.7x14.2,greatest length x widthxdepth,,,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Calcaneus///part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
919,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Astralagus,,L,1,,,1,,,,,,,,,,,,0,,,,,,,,,19.9x14.0,greatest length x width,,,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Astralagus///part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
920,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Tarsal,,L,1,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Tarsal///part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
921,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Tarsal,,L,1,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Tarsal///part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
922,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Tarsal,,L,1,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Tarsal///part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
923,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Mt,II,L,0.5,3-Proximal and shaft,4-Modern,1,,,,FU- Fused,,ND,,,,,,0,,,,,,2,,,,,3-Proximal and shaft,II,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Mt/3-Proximal and shaft/II/part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
924,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Mt,III,L,0.5,3-Proximal and shaft,4-Modern,1,,,,FU- Fused,,ND,,,,,,0,,,,,,2,,,,,3-Proximal and shaft,III,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Mt/3-Proximal and shaft/III/part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
925,2017,,589,18,M26,,AH,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Mt,IV,L,0.2,3-Proximal and shaft,4-Modern,1,,,,FU- Fused,,ND,,,,,,0,,,,,,2,,,,,3-Proximal and shaft,IV,"part of tarsals and foot of single individual, rough and white, chalky (boiled?)","Mt/3-Proximal and shaft/IV/part of tarsals and foot of single individual, rough and white, chalky (boiled?)"
926,2017,,589,18,M26,,AH,27_VI_14,Mammal,General,large,,large mammal,#N/A,rib,,,0.4,4-Distal and shaft,1,2,2,,,,,,,,,,,0,,,,,,,,,,,4-Distal and shaft,,,rib/4-Distal and shaft//
927,2017,,589,18,M26,,AH,27_VI_14,Mammal,General,medium,,medium mammal,#N/A,unknown,Frags,,0,,4-Modern,1,,,,,,,,,,,,0,,,,,,,,,,,,frag,Likely part of the dog tarsal individual,unknown//frag/Likely part of the dog tarsal individual
928,2017,,589,18,M26,,AH,27_VI_14,Mammal,General,medium-large,,medium-large mammal,#N/A,shaft,Frags,,0,8- pieces grouped together ,5-Mixed,3,,,,,,,,,,,,0,,,,,,,,,,,8- pieces grouped together ,frag,,shaft/8- pieces grouped together /frag/
929,2017,,589,18,M26,,AH,27_VI_14,Mammal,General,small,,small mammal,#N/A,Thoracic,,,1,,,1,,1- young(not grown up at all),,UF- Unfused,Pr - present,UF- Unfused,,,,,,0,,,,,,,,,,,,,,Thoracic///
930,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Artiodactyla,Mazama,sp.,Brocket deer,#N/A,Ph3,,LL/RM,1,,,1,,0- not determinable,,FU- Fused,Pr - present,FU- Fused,,?,,,,0,,,,,,,,,22.5x13.9x8.1,L (palmer/planter) x Height(proximal) x Width,,,,Ph3///
931,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Artiodactyla,Odocoileus,virginianus,White-tailed deer,#N/A,Mt,,L,0.2,3-Proximal and shaft,,1,,0- not determinable,,FU- Fused,,ND,,,,,,0,,,,,,2,concretions,,24.8x26,WxD (prox),3-Proximal and shaft,,,Mt/3-Proximal and shaft//
932,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,Humerus,,R,0,1-Proximal epiphysis,2,1,,0- not determinable,,ND,,ND,,,,,,0,,,,,,,,,,,1-Proximal epiphysis,greater tubercle fragment,"fragment of greater tubercle, potentially unfused","Humerus/1-Proximal epiphysis/greater tubercle fragment/fragment of greater tubercle, potentially unfused"
933,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Artiodactyla,Artiodactyla,,Artiodactyl,#N/A,Cranium,Frags,,0,8- pieces grouped together ,2,2,,0- not determinable,,,,,,,,,,0,,,,,,,,,,,8- pieces grouped together ,Frags,,Cranium/8- pieces grouped together /Frags/
934,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog (lg),#N/A,Humerus,-,R,0.6,4-Distal and shaft,2,1,,,,ND,Pr - present,FU- Fused,,Phone 28_VIII_17,,,,0,,,,,,1,,,"32.1, 25.8, 24.6, 21.9","W(epicondyle-epi), w troch+capi), D (medial), D (lateral)",4-Distal and shaft,distal,"large dog, potentially hybrid or possibly modern. ","Humerus/4-Distal and shaft/distal/large dog, potentially hybrid or possibly modern. "
935,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Cervical,3,,1,6- whole lenght/size but still broken,4-Modern,1,,1- young(not grown up at all),,UF- Unfused,Pr - present,UF- Unfused,,,,,,0,,,,,,,,,,,6- whole lenght/size but still broken,3,"Not as large as other dog in this bag, two individual","Cervical/6- whole lenght/size but still broken/3/Not as large as other dog in this bag, two individual"
936,2017,,599,18,I22,,DHS,27_VI_14,Mammal,Carnivora,Canis,familiaris ,Dog,#N/A,Mc,II,L,1,6- whole lenght/size but still broken,1,1,,,,FU- Fused,Pr - present,FU- Fused,,,,,,0,,,,,,,,,43.1,L,6- whole lenght/size but still broken,II,,Mc/6- whole lenght/size but still broken/II/
